#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C964
#Date Time: 2024-11-15 15:30:01.158
#Sample rate: 400Hz
#Samples: 4096

Time (s),UART2,UART
-1.1975,h15[NAK] Framing Error,hF5[õ]
-1.195,h15[NAK] Framing Error,hF5[õ]
-1.1925,h15[NAK] Framing Error,hF5[õ]
-1.19,h15[NAK] Framing Error,hF5[õ]
-1.1875,h15[NAK] Framing Error,hF5[õ]
-1.185,h15[NAK] Framing Error,hF5[õ]
-1.1825,h15[NAK] Framing Error,hF5[õ]
-1.18,h15[NAK] Framing Error,hF5[õ]
-1.1775,h15[NAK] Framing Error,hF5[õ]
-1.175,h15[NAK] Framing Error,hF5[õ]
-1.1725,h15[NAK] Framing Error,hF5[õ]
-1.17,h15[NAK] Framing Error,hF5[õ]
-1.1675,h15[NAK] Framing Error,hF5[õ]
-1.165,h15[NAK] Framing Error,hF5[õ]
-1.1625,h15[NAK] Framing Error,hF5[õ]
-1.16,h15[NAK] Framing Error,hF5[õ]
-1.1575,h15[NAK] Framing Error,hF5[õ]
-1.155,h15[NAK] Framing Error,hF5[õ]
-1.1525,h15[NAK] Framing Error,hF5[õ]
-1.15,h15[NAK] Framing Error,hF5[õ]
-1.1475,h15[NAK] Framing Error,hF5[õ]
-1.145,h15[NAK] Framing Error,hF5[õ]
-1.1425,h15[NAK] Framing Error,hF5[õ]
-1.14,h15[NAK] Framing Error,hF5[õ]
-1.1375,h15[NAK] Framing Error,hF5[õ]
-1.135,h15[NAK] Framing Error,hF5[õ]
-1.1325,h15[NAK] Framing Error,hF5[õ]
-1.13,h15[NAK] Framing Error,hF5[õ]
-1.1275,h15[NAK] Framing Error,hF5[õ]
-1.125,h15[NAK] Framing Error,hF5[õ]
-1.1225,h15[NAK] Framing Error,hF5[õ]
-1.12,h15[NAK] Framing Error,hF5[õ]
-1.1175,h15[NAK] Framing Error,hF5[õ]
-1.115,h15[NAK] Framing Error,hF5[õ]
-1.1125,h15[NAK] Framing Error,hF5[õ]
-1.11,h15[NAK] Framing Error,hF5[õ]
-1.1075,h15[NAK] Framing Error,hF5[õ]
-1.105,h15[NAK] Framing Error,hF5[õ]
-1.1025,h15[NAK] Framing Error,hF5[õ]
-1.1,h15[NAK] Framing Error,hF5[õ]
-1.0975,h15[NAK] Framing Error,hF5[õ]
-1.095,h15[NAK] Framing Error,hF5[õ]
-1.0925,h15[NAK] Framing Error,hF5[õ]
-1.09,h15[NAK] Framing Error,hF5[õ]
-1.0875,h15[NAK] Framing Error,hF5[õ]
-1.085,h15[NAK] Framing Error,hF5[õ]
-1.0825,h15[NAK] Framing Error,hF5[õ]
-1.08,h15[NAK] Framing Error,hF5[õ]
-1.0775,h15[NAK] Framing Error,hF5[õ]
-1.075,h15[NAK] Framing Error,hF5[õ]
-1.0725,h15[NAK] Framing Error,hF5[õ]
-1.07,h15[NAK] Framing Error,hF5[õ]
-1.0675,h15[NAK] Framing Error,hF5[õ]
-1.065,h15[NAK] Framing Error,hF5[õ]
-1.0625,h15[NAK] Framing Error,hF5[õ]
-1.06,h15[NAK] Framing Error,hF5[õ]
-1.0575,h15[NAK] Framing Error,hF5[õ]
-1.055,h15[NAK] Framing Error,hF5[õ]
-1.0525,h15[NAK] Framing Error,hF5[õ]
-1.05,h15[NAK] Framing Error,hF5[õ]
-1.0475,h15[NAK] Framing Error,hF5[õ]
-1.045,h15[NAK] Framing Error,hF5[õ]
-1.0425,h15[NAK] Framing Error,hF5[õ]
-1.04,h15[NAK] Framing Error,hF5[õ]
-1.0375,h15[NAK] Framing Error,hF5[õ]
-1.035,h15[NAK] Framing Error,hF5[õ]
-1.0325,h15[NAK] Framing Error,hF5[õ]
-1.03,h15[NAK] Framing Error,hF5[õ]
-1.0275,h15[NAK] Framing Error,hF5[õ]
-1.025,h15[NAK] Framing Error,hF5[õ]
-1.0225,h15[NAK] Framing Error,hF5[õ]
-1.02,h15[NAK] Framing Error,hF5[õ]
-1.0175,h15[NAK] Framing Error,hF5[õ]
-1.015,h15[NAK] Framing Error,hF5[õ]
-1.0125,h15[NAK] Framing Error,hF5[õ]
-1.01,h15[NAK] Framing Error,hF5[õ]
-1.0075,h15[NAK] Framing Error,hF5[õ]
-1.005,h15[NAK] Framing Error,hF5[õ]
-1.0025,h15[NAK] Framing Error,hF5[õ]
-1,h15[NAK] Framing Error,hF5[õ]
-0.9975000000000001,h15[NAK] Framing Error,hF5[õ]
-0.995,h15[NAK] Framing Error,hF5[õ]
-0.9925,h15[NAK] Framing Error,hF5[õ]
-0.99,h15[NAK] Framing Error,hF5[õ]
-0.9875,h15[NAK] Framing Error,hF5[õ]
-0.985,h15[NAK] Framing Error,hF5[õ]
-0.9825,h15[NAK] Framing Error,hF5[õ]
-0.98,h15[NAK] Framing Error,hF5[õ]
-0.9775,h15[NAK] Framing Error,hF5[õ]
-0.975,h15[NAK] Framing Error,hF5[õ]
-0.9725,h15[NAK] Framing Error,hF5[õ]
-0.97,h15[NAK] Framing Error,hF5[õ]
-0.9675,h15[NAK] Framing Error,hF5[õ]
-0.965,h15[NAK] Framing Error,hF5[õ]
-0.9625,h15[NAK] Framing Error,hF5[õ]
-0.96,h15[NAK] Framing Error,hF5[õ]
-0.9575,h15[NAK] Framing Error,hF5[õ]
-0.955,h15[NAK] Framing Error,hF5[õ]
-0.9525,h15[NAK] Framing Error,hF5[õ]
-0.95,h15[NAK] Framing Error,hF5[õ]
-0.9475,h15[NAK] Framing Error,hF5[õ]
-0.945,h15[NAK] Framing Error,hF5[õ]
-0.9425,h15[NAK] Framing Error,hF5[õ]
-0.9399999999999999,h15[NAK] Framing Error,hF5[õ]
-0.9375,h15[NAK] Framing Error,hF5[õ]
-0.9350000000000001,h15[NAK] Framing Error,hF5[õ]
-0.9325,h15[NAK] Framing Error,hF5[õ]
-0.93,X,hF5[õ]
-0.9275,X,hF5[õ]
-0.925,X,hF5[õ]
-0.9225,X,hF5[õ]
-0.92,X,hF5[õ]
-0.9175,X,hF5[õ]
-0.915,X,hF5[õ]
-0.9125,X,hF5[õ]
-0.91,X,hF5[õ]
