v1	V(output)	V(n007)	V(n008)
5.735820992063420e-03	-3.436173e-03	5.735084e-02	-4.505308e-05
5.775716782090096e-03	-3.436173e-03	5.774974e-02	-4.505308e-05
5.815890069281355e-03	-3.436173e-03	5.815142e-02	-4.505308e-05
5.856342783782616e-03	-3.436173e-03	5.855590e-02	-4.505308e-05
5.897076869164520e-03	-3.436173e-03	5.896319e-02	-4.505308e-05
5.938094282516313e-03	-3.436173e-03	5.937331e-02	-4.505308e-05
5.979396994539871e-03	-3.436173e-03	5.978629e-02	-4.505308e-05
6.020986989644388e-03	-3.436173e-03	6.020213e-02	-4.505308e-05
6.062866266041713e-03	-3.436173e-03	6.062087e-02	-4.505308e-05
6.105036835842358e-03	-3.436173e-03	6.104252e-02	-4.505308e-05
6.147500725152173e-03	-3.436173e-03	6.146711e-02	-4.505308e-05
6.190259974169684e-03	-3.436173e-03	6.189464e-02	-4.505308e-05
6.233316637284125e-03	-3.436173e-03	6.232516e-02	-4.505308e-05
6.276672783174133e-03	-3.436173e-03	6.275866e-02	-4.505308e-05
6.320330494907146e-03	-3.436173e-03	6.319518e-02	-4.505308e-05
6.364291870039479e-03	-3.436173e-03	6.363474e-02	-4.505308e-05
6.408559020717108e-03	-3.436173e-03	6.407735e-02	-4.505308e-05
6.453134073777143e-03	-3.436173e-03	6.452305e-02	-4.505308e-05
6.498019170850019e-03	-3.436173e-03	6.497184e-02	-4.505308e-05
6.543216468462385e-03	-3.436173e-03	6.542376e-02	-4.505308e-05
6.588728138140723e-03	-3.436173e-03	6.587882e-02	-4.505308e-05
6.634556366515674e-03	-3.436173e-03	6.633704e-02	-4.505308e-05
6.680703355427096e-03	-3.436173e-03	6.679845e-02	-4.505308e-05
6.727171322029859e-03	-3.436173e-03	6.726307e-02	-4.505308e-05
6.773962498900362e-03	-3.436173e-03	6.773092e-02	-4.505308e-05
6.821079134143800e-03	-3.436173e-03	6.820203e-02	-4.505308e-05
6.868523491502178e-03	-3.436173e-03	6.867641e-02	-4.505308e-05
6.916297850463071e-03	-3.436173e-03	6.915409e-02	-4.505308e-05
6.964404506369144e-03	-3.436173e-03	6.963510e-02	-4.505308e-05
7.012845770528433e-03	-3.436173e-03	7.011945e-02	-4.505308e-05
7.061623970325392e-03	-3.436173e-03	7.060717e-02	-4.505308e-05
7.110741449332716e-03	-3.436173e-03	7.109828e-02	-4.505308e-05
7.160200567423936e-03	-3.436173e-03	7.159281e-02	-4.505308e-05
7.210003700886800e-03	-3.436173e-03	7.209077e-02	-4.505308e-05
7.260153242537447e-03	-3.436173e-03	7.259221e-02	-4.505308e-05
7.310651601835366e-03	-3.436173e-03	7.309712e-02	-4.505308e-05
7.361501204999164e-03	-3.436173e-03	7.360555e-02	-4.505308e-05
7.412704495123132e-03	-3.436173e-03	7.411752e-02	-4.505308e-05
7.464263932294626e-03	-3.436173e-03	7.463305e-02	-4.505308e-05
7.516181993712262e-03	-3.436173e-03	7.515217e-02	-4.505308e-05
7.568461173804937e-03	-3.436173e-03	7.567489e-02	-4.505308e-05
7.621103984351670e-03	-3.436173e-03	7.620125e-02	-4.505308e-05
7.674112954602288e-03	-3.436173e-03	7.673127e-02	-4.505308e-05
7.727490631398939e-03	-3.436173e-03	7.726498e-02	-4.505308e-05
7.781239579298460e-03	-3.436173e-03	7.780240e-02	-4.505308e-05
7.835362380695593e-03	-3.436173e-03	7.834356e-02	-4.505308e-05
7.889861635947053e-03	-3.436173e-03	7.888848e-02	-4.505308e-05
7.944739963496469e-03	-3.436173e-03	7.943720e-02	-4.505308e-05
8.000000000000184e-03	-3.436173e-03	7.998972e-02	-4.505308e-05
8.055644400453936e-03	-3.436173e-03	8.054610e-02	-4.505308e-05
8.111675838320421e-03	-3.436173e-03	8.110633e-02	-4.505308e-05
8.168097005657736e-03	-3.436173e-03	8.167048e-02	-4.505308e-05
8.224910613248723e-03	-3.436173e-03	8.223854e-02	-4.505308e-05
8.282119390731212e-03	-3.436173e-03	8.281056e-02	-4.505308e-05
8.339726086729166e-03	-3.436173e-03	8.338655e-02	-4.505308e-05
8.397733468984736e-03	-3.436173e-03	8.396655e-02	-4.505308e-05
8.456144324491243e-03	-3.436173e-03	8.455058e-02	-4.505308e-05
8.514961459627081e-03	-3.436173e-03	8.513868e-02	-4.505308e-05
8.574187700290550e-03	-3.436173e-03	8.573087e-02	-4.505308e-05
8.633825892035624e-03	-3.436173e-03	8.632717e-02	-4.505308e-05
8.693878900208674e-03	-3.436173e-03	8.692762e-02	-4.505308e-05
8.754349610086127e-03	-3.436173e-03	8.753225e-02	-4.505308e-05
8.815240927013098e-03	-3.436173e-03	8.814108e-02	-4.505308e-05
8.876555776542975e-03	-3.436173e-03	8.875415e-02	-4.505308e-05
8.938297104577978e-03	-3.436173e-03	8.937149e-02	-4.505308e-05
9.000467877510696e-03	-3.436173e-03	8.999312e-02	-4.505308e-05
9.063071082366612e-03	-3.436173e-03	9.061907e-02	-4.505308e-05
9.126109726947615e-03	-3.436173e-03	9.124938e-02	-4.505308e-05
9.189586839976508e-03	-3.436173e-03	9.188406e-02	-4.505308e-05
9.253505471242530e-03	-3.436173e-03	9.252317e-02	-4.505308e-05
9.317868691747879e-03	-3.436173e-03	9.316672e-02	-4.505308e-05
9.382679593855265e-03	-3.436173e-03	9.381475e-02	-4.505308e-05
9.447941291436480e-03	-3.436173e-03	9.446727e-02	-4.505308e-05
9.513656920022009e-03	-3.436173e-03	9.512435e-02	-4.505308e-05
9.579829636951672e-03	-3.436173e-03	9.578599e-02	-4.505308e-05
9.646462621526328e-03	-3.436173e-03	9.645224e-02	-4.505308e-05
9.713559075160623e-03	-3.436173e-03	9.712312e-02	-4.505308e-05
9.781122221536799e-03	-3.436173e-03	9.779866e-02	-4.505308e-05
9.849155306759583e-03	-3.436173e-03	9.847891e-02	-4.505308e-05
9.917661599512148e-03	-3.436173e-03	9.916387e-02	-4.505308e-05
9.986644391213153e-03	-3.436173e-03	9.985362e-02	-4.505308e-05
1.005610699617489e-02	-3.436173e-03	1.005482e-01	-4.505308e-05
1.012605275176250e-02	-3.436173e-03	1.012475e-01	-4.505308e-05
1.019648501855436e-02	-3.436173e-03	1.019518e-01	-4.505308e-05
1.026740718050350e-02	-3.436173e-03	1.026609e-01	-4.505308e-05
1.033882264510021e-02	-3.436173e-03	1.033750e-01	-4.505308e-05
1.041073484353574e-02	-3.436173e-03	1.040940e-01	-4.505308e-05
1.048314723086718e-02	-3.436173e-03	1.048180e-01	-4.505308e-05
1.055606328618343e-02	-3.436173e-03	1.055471e-01	-4.505308e-05
1.062948651277238e-02	-3.436173e-03	1.062812e-01	-4.505308e-05
1.070342043828918e-02	-3.436173e-03	1.070205e-01	-4.505308e-05
1.077786861492581e-02	-3.436173e-03	1.077648e-01	-4.505308e-05
1.085283461958167e-02	-3.436173e-03	1.085144e-01	-4.505308e-05
1.092832205403546e-02	-3.436173e-03	1.092692e-01	-4.505308e-05
1.100433454511825e-02	-3.436173e-03	1.100292e-01	-4.505308e-05
1.108087574488770e-02	-3.436173e-03	1.107945e-01	-4.505308e-05
1.115794933080355e-02	-3.436173e-03	1.115652e-01	-4.505308e-05
1.123555900590428e-02	-3.436173e-03	1.123412e-01	-4.505308e-05
1.131370849898507e-02	-3.436173e-03	1.131226e-01	-4.505308e-05
1.139240156477689e-02	-3.436173e-03	1.139094e-01	-4.505308e-05
1.147164198412694e-02	-3.436173e-03	1.147017e-01	-4.505308e-05
1.155143356418029e-02	-3.436173e-03	1.154995e-01	-4.505308e-05
1.163178013856281e-02	-3.436173e-03	1.163029e-01	-4.505308e-05
1.171268556756533e-02	-3.436173e-03	1.171118e-01	-4.505308e-05
1.179415373832914e-02	-3.436173e-03	1.179264e-01	-4.505308e-05
1.187618856503272e-02	-3.436173e-03	1.187466e-01	-4.505308e-05
1.195879398907984e-02	-3.436173e-03	1.195726e-01	-4.505308e-05
1.204197397928888e-02	-3.436173e-03	1.204043e-01	-4.505308e-05
1.212573253208353e-02	-3.436173e-03	1.212417e-01	-4.505308e-05
1.221007367168482e-02	-3.436173e-03	1.220850e-01	-4.505308e-05
1.229500145030445e-02	-3.436173e-03	1.229342e-01	-4.505308e-05
1.238051994833947e-02	-3.436173e-03	1.237893e-01	-4.505308e-05
1.246663327456835e-02	-3.436173e-03	1.246503e-01	-4.505308e-05
1.255334556634837e-02	-3.436173e-03	1.255173e-01	-4.505308e-05
1.264066098981440e-02	-3.436173e-03	1.263904e-01	-4.505308e-05
